order_id,customer_id,order_date,ship_date,segment,region,category,product_name,quantity,unit_price,discount,revenue,profit
ORD-1000,CUST-1864,2022-08-17,2022-08-19,Consumer,East,Electronics,MacBook Pro,2,1021.52,0.2,1634.43,213.18
ORD-1001,CUST-2436,2022-08-27,2022-09-01,Consumer,North,Electronics,MacBook Pro,10,59.27,0.05,563.07,197.42
ORD-1002,CUST-1696,2022-10-12,2022-10-19,Home Office,West,Food & Bev,Air Fryer,1,1143.03,0.05,1085.88,373.92
ORD-1003,CUST-2652,2022-04-15,2022-04-16,Corporate,South,Clothing,Running Shoes,7,163.14,0.1,1027.78,319.95
ORD-1004,CUST-1740,2022-03-22,2022-03-27,Corporate,North,Electronics,iPad Air,5,1247.52,0.2,4990.08,2045.47
ORD-1005,CUST-1778,2022-08-22,2022-08-29,Home Office,North,Furniture,Office Desk,5,1478.13,0.05,7021.12,2831.4
ORD-1006,CUST-1350,2023-01-15,2023-01-18,Consumer,East,Clothing,Jeans,4,1011.86,0.0,4047.44,1267.64
ORD-1007,CUST-2589,2022-10-04,2022-10-10,Corporate,West,Furniture,Standing Desk,9,345.03,0.1,2794.74,1103.92
ORD-1008,CUST-1644,2023-02-15,2023-02-18,Corporate,North,Electronics,iPhone 15,2,332.25,0.2,531.6,216.22
ORD-1009,CUST-2529,2023-04-15,2023-04-17,Home Office,West,Furniture,Bookshelf,5,226.65,0.2,906.6,261.68
ORD-1010,CUST-1313,2022-08-13,2022-08-15,Corporate,West,Food & Bev,Tea Set,9,750.4,0.0,6753.6,2710.8
ORD-1011,CUST-1023,2023-01-26,2023-01-31,Corporate,North,Furniture,Bookshelf,8,803.09,0.2,5139.78,2062.45
ORD-1012,CUST-2478,2022-12-15,2022-12-16,Home Office,East,Electronics,Dell Monitor,5,663.45,0.15,2819.66,285.17
ORD-1013,CUST-1313,2022-04-19,2022-04-26,Home Office,South,Clothing,Sneakers,5,1265.67,0.2,5062.68,1585.33
ORD-1014,CUST-2703,2022-11-28,2022-12-02,Home Office,North,Clothing,Running Shoes,1,185.56,0.1,167.0,68.06
